Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÏêÏ¸Àà±ğ
Bøc hµm th­ v« dông	4	338	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	339	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	340	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	341	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Ng©n Nguyªn B¶o	4	342	\spr\item\questkey\obj_item_cards.spr	339	1	1	Mét miÕng B¹ch Ng©n Nguyªn B¶o to	1
Kim Nguyªn B¶o	4	343	\spr\item\questkey\obj_item_cardg.spr	340	1	1	Mét miÕng Hoµng Kim Nguyªn B¶o to	1
Bao l× x× h«n lÔ	4	344	\spr\item\questkey\obj_item_hehuan.spr	348	1	1	Bao l× x× h«n lÔ	1
Kh¨n Uyªn ¦¬ng	4	345	\spr\item\questkey\obj_item_yuanyang.spr	349	1	1	Kh¨n Uyªn ¦¬ng	1
T×nh ı kÕt	4	346	\spr\item\questkey\obj_item_qingyi.spr	350	1	1	T×nh ı kÕt	1
HuyÕt Hång Anh Hïng LÖnh	4	347	\spr\item\questkey\obj_item_herokey1.spr	352	1	1	Giang hå Anh Hïng lÖnh, ng­êi cã ®­îc nã cã thÓ tham gia §¹i héi Anh Hïng. 	1
DiÖp Lôc Anh Hïng LÖnh	4	348	\spr\item\questkey\obj_item_herokey2.spr	352	1	1	Giang hå Anh Hïng lÖnh, ng­êi cã ®­îc nã cã thÓ tham gia §¹i héi Anh Hïng. 	1
Tinh Hång Anh Hïng LÖnh	4	349	\spr\item\questkey\obj_item_herokey3.spr	352	1	1	Giang hå Anh Hïng lÖnh, ng­êi cã ®­îc nã cã thÓ tham gia §¹i héi Anh Hïng. 	1
¸m Hoµng Anh Hïng LÖnh	4	350	\spr\item\questkey\obj_item_herokey4.spr	352	1	1	Giang hå Anh Hïng lÖnh, ng­êi cã ®­îc nã cã thÓ tham gia §¹i héi Anh Hïng. 	1
Mét mµnh cña tÊm ®Şa ®å "S¬n Hµ X· T¾c "	4	351	\spr\item\questkey\obj_item_shanhe.spr	351	1	1	Ng­êi nµo cã toµn bé bøc ®Şa ®å nµy, néi trong vßng 3 n¨m, vâ c«ng vµ v¨n ch­¬ng sÏ v« ®Şch thiªn h¹. 	1
Ch×a khãa c¬ quan	4	352	\spr\item\questkey\taskobj092.spr	41	1	1	Ch×a khãa ®Ó ®iÒu chØnh c¬ quan H¾c Lao trong ®éng Cæ D­¬ng. 	0
Tinh Hång B¶o Th¹ch	4	353	\spr\item\obj_item_red.spr	333	1	1	Mét viªn b¶o th¹ch thÇn bİ mµu hång huyÕt, ng­êi luyÖn vâ cã thÓ dïng nã ®Ó th«ng kinh m¹ch. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh Thµnh §«	4	354	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh Thµnh §«. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh Thµnh §«	4	355	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh Thµnh §«. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh T­¬ng D­¬ng	4	356	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh T­¬ng D­¬ng. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh T­¬ng D­¬ng	4	357	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh T­¬ng D­¬ng. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh BiÖn Kinh	4	358	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh BiÖn Kinh. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh BiÖn Kinh	4	359	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh BiÖn Kinh. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh L©m An	4	360	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh L©m An. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh L©m An	4	361	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh L©m An. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh Phông T­êng	4	362	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh Phông T­êng. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh Phông T­êng	4	363	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh Phông T­êng. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh D­¬ng Ch©u	4	364	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh D­¬ng Ch©u. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh D­¬ng Ch©u	4	365	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh D­¬ng Ch©u. 	1
LÖnh bµi th«ng hµnh phe thñ thµnh §¹i Lı	4	366	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh §¹i Lı. 	1
LÖnh bµi th«ng hµnh phe c«ng thµnh §¹i Lı	4	367	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh ®Ó tham gia c«ng thµnh §¹i Lı. 	1
LÖnh bµi th«ng hµnh tham gia L«i ®µi c«ng thµnh chiÕn	4	368	\spr\item\questkey\taskobj126.spr	41	1	1	LÖnh bµi th«ng hµnh tham gia L«i ®µi c«ng thµnh chiÕn. 	1
Con ®¹i §iªu b¾t ®­îc	4	369	\spr\item\questkey\001.spr	41	1	1	Mét con ®¹i §iªu b¾t ®­îc, hiÖn ®· thuÇn phôc	0
Mét chiÕc r¨ng d· thó	4	370	\spr\item\questkey\002.spr	41	1	1	Mét chiÕc r¨ng d· thó, s¾c nhän vµ ph¸t s¸ng. 	0
Mét chiÕc b×nh chøa n­íc b»ng l­u ly	4	371	\spr\item\questkey\003.spr	41	1	1	Mét chiÕc b×nh chøa n­íc b»ng l­u ly	0
Mét cÆp c¸nh chim mÒm m¹i tr¾ng tinh	4	372	\spr\item\questkey\005.spr	41	1	1	Mét cÆp c¸nh chim mÒm m¹i tr¾ng tinh. 	0
KĞo s¾t	4	373	\spr\item\questkey\004.spr	41	1	1	Mét c©y kĞo th«, nhän vµ nÆng. 	0
LÖnh tiÔn th«ng hµnh trong phñ c«ng chóa	4	374	\spr\item\questkey\006.spr	41	1	1	Mét miÕng lÖnh tiÔn mµu vµng, trªn cã kh¾c mét ch÷ " LÖnh". 	0
HuyÕt Dòng hoµn	4	375	\spr\item\questkey\007.spr	41	1	1	Mét viªn Chu Sa mµu ®á. 	0
Kh¨n t¬	4	376	\spr\item\questkey\008.spr	41	1	1	"Mét tÊm kh¨n t¬ mµu hång phÊn, trªn cã thªu mét ch÷ "Hµ""	0
§­êng m«n TuyÖt häc MËt tŞch	4	377	\spr\item\questkey\009.spr	41	1	1	§­êng m«n TuyÖt häc MËt tŞch, ®¸ng tiÕc lµ B¹n xem nöa ngµy còng kh«ng hiÓu	0
Mét quyÓn mËt tŞch võa lÊy ®­îc	4	378	\spr\item\questkey\010.spr	41	1	1	Mét quyÓn s¸ch b×a b»ng B¹c	0
Th­ cña §­êng BÊt NhiÔm	4	379	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ cña §­êng BÊt NhiÔm göi cho B¹ch C«ng Tö	0
Th­ håi ©m cña B¹ch C«ng Tö	4	380	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ håi ©m cña B¹ch C«ng Tö cho §­êng BÊt NhiÔm	0
L«i Th­îc	4	381	\spr\item\questkey\taskobj092-2.spr	41	1	1	Ch×a khãa cña L«i Bé Cuång Lang ®ang gi÷	0
V©n Th­îc	4	382	\spr\item\questkey\taskobj092-4.spr	41	1	1	Ch×a khãa cña V©n Bé S¬n ¦ng ®ang gi÷	0
ChØ dô cña Hoµng Nhan L­îng	4	383	\spr\item\questkey\taskobj075.spr	41	1	1	"°×¹ÃÄïÃÔ»óĞìÖĞÔ­Ö®¼ÆÉõºÃ,ÏÖÎäµ±ÄÚ²¿ÒÑÏÖ²»ºÍ.<enter>Íû¶à¼ÓÅ¬Á¦,×îºÃÕÆÎÕ°Ñ±úÁîÆäÄ±Ê¦º¦¸¸,ÂÒÎäµ±ÓÚÄÚ²¿<enter>¡¡¡¡¡¡¡¡´ó½ğ¹úÖ÷ÍêÑÕÁÁ¡£"	0
Th­ giíi thiÖu cña Hoµng Cöu Thiªn	4	384	\spr\item\questkey\taskobj075.spr	41	1	1	Th­ giíi thiÖu b¹n cña Hoµng Cöu Thiªn	0
Th­ cña V©n BÊt Tµ	4	385	\spr\item\questkey\taskobj090.spr	41	1	1	Th­ cña V©n BÊt Tµ nhê b¹n mang ®Õn cho §­êng D·	0
Th­ cña §­êng D·	4	386	\spr\item\questkey\taskobj090.spr	41	1	1	Th­ cña §­êng D· nhê b¹n mang ®Õn cho V©n BÊt Tµ	0
Thuèc gi¶i ¢m D­¬ng TiÕu	4	387	\spr\item\questkey\taskobj144.spr	41	1	1	Thuèc gi¶i ¢m D­¬ng TiÕu lÊy ®­îc tõ tay cña V©n BÊt Tµ	0
V« Tù Thiªn Th­	4	388	\spr\item\questkey\taskobj119.spr	41	1	1	TruyÒn thuyÕt ®©y lµ quyÓn s¸ch do s­ tæ cña Nga Mi ph¸i ®· ghi l¹i nh÷ng vâ häc tuyÖt kü, nh­ng khi b¹n Më ra th× kh«ng hÒ thÊy mét ch÷ nµo	0
Nga Mi lÖnh tiÔn	4	389	\spr\item\questkey\006.spr	41	1	1	LÖnh tiÔn cña ch­ëng m«n Nga Mi ph¸i, cã thÓ dïng nã ®Ó chØ huy c¸c ®Ö tö cña Nga Mi	0
Th­ cña Giíi V« Tµ	4	390	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ cña Giíi V« Tµ nhê b¹n mang ®Õn cho La tr­ëng l·o cña C¸i Bang	0
Th­ cña §oµn ¢n Thµnh	4	391	\spr\item\questkey\taskobj091.spr	41	1	1	Th­ cña §oµn ¢n Thµnh viÕt cho LŞch Thu Thñy	0
ThiÕu L©m T¨ng Chóng LÖnh	4	392	\spr\item\questkey\006.spr	41	1	1	ThiÕu L©m Tù dïng lÖnh bµi nµy ®Ó chiªu tËp c¸c ®Ö tö chóng t¨ng	0
Th­ tİn	4	393	\spr\item\questkey\taskobj091.spr	41	1	1	Mét bøc th­ tİn	0
Hång T¸o	4	394	\spr\item\questkey\taskobj394.spr	360	1	1	Mét lo¹i t¸o ®á th­êng thÊy, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
h¹t dÎ	4	395	\spr\item\questkey\taskobj395.spr	361	1	1	Lo¹i h¹t dÎ th­êng thÊy, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
Tèng diÖp	4	396	\spr\item\questkey\taskobj396.spr	362	1	1	Lo¹i l¸ khi nÊu chİn cã vŞ ngät, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
g¹o nÕp	4	397	\spr\item\questkey\taskobj397.spr	363	1	1	Lo¹i g¹o nÕp th­êng thÊy, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
ThŞt heo	4	398	\spr\item\questkey\taskobj398.spr	364	1	1	ThŞt heo th«ng th­êng, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
ThŞt bß	4	399	\spr\item\questkey\taskobj399.spr	365	1	1	ThŞt bß th«ng th­êng, cã thÓ dïng lµm nh©n b¸nh ch­ng	1
M¶nh cã ch÷ "Ngò"	4	400	\spr\item\questkey\hu.spr	41	1	1	Mét m¶nh giÊy bŞ xĞ ra, bªn trªn cã viÕt mét ch÷ "Ngò" thËt to	1
M¶nh cã ch÷ "Liªn"	4	401	\spr\item\questkey\lian.spr	41	1	1	Mét m¶nh giÊy bŞ xĞ ra, bªn trªn cã viÕt mét ch÷ "Liªn" thËt to	1
M¶nh cã ch÷ "Tinh"	4	402	\spr\item\questkey\xing.spr	41	1	1	Mét m¶nh giÊy bŞ xĞ ra, bªn trªn cã viÕt mét ch÷ "Tinh" thËt to	1
M¶nh cã ch÷ "Kh«ng"	4	403	\spr\item\questkey\kong.spr	41	1	1	Mét m¶nh giÊy bŞ xĞ ra, bªn trªn cã viÕt mét ch÷ "Kh«ng" thËt to	1
KhuÊt Nguyªn mËt ph­¬ng	4	404	\spr\item\questkey\quyuanmifang.spr	368	1	1	MËt th­ cña T« thŞ ë Hå Ch©u, trong ®ã ghi l¹i nh÷ng ph­¬ng ph¸p lµm b¸nh ch­ng nh©n thËp cÈm bİ truyÒn	1
G¹o nÕp may m¾n	4	405	\spr\item\questkey\taskobj397.spr	363	1	1	G¹o nÕp may m¾n, chuyªn dïng ®Ó lµm B¸nh ch­ng may m¾n 	1
S¸ch d¹y thuËt rÌn L¨ng V­¬ng Th­¬ng	4	406	\spr\item\questkey\taskobj119.spr	341	1	1	²ĞÈ±µÄÌìÏÂµÚÒ»Ç¹ÁêÍõÇ¹µÄ¶ÍÔìÃÜÆ×£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉıÇ¹ÀàÎäÆ÷µÄµÈ¼¶¡£	1
S¸ch d¹y thuËt ®óc HuyÒn Vò Chïy	4	407	\spr\item\questkey\taskobj119.spr	341	1	1	ÎäÁÖ°Ë´ó´¸Ö®Ò»µÄĞşÎä´¸µÄÖıÔìÊõ£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉı´¸ÀàÎäÆ÷µÄµÈ¼¶¡£	1
S¸ch d¹y thuËt rÌn Long Ng©n KiÕm	4	408	\spr\item\questkey\taskobj119.spr	341	1	1	ÁúÒ÷¾ÅÌì½£¿ÍÁôÏÂµÄÃØ½£ÖÆÔìÍ¼£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉı½£ÀàÎäÆ÷µÄµÈ¼¶¡£	1
S¸ch d¹y thuËt chÕ t¹o ná Gia C¸t C¬ Qu¸t	4	409	\spr\item\questkey\taskobj119.spr	341	1	1	Öî¸ğÎäºî´«ÏÂµÄ¹ØÓÚÖî¸ğåóµÄ»úÀ¨ĞÄµÃ£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉıåó¼ıÀà°µÆ÷µÄµÈ¼¶¡£	1
LiÔu DiÖp To¸i Phong §ao-Tôy Thó Biªn	4	410	\spr\item\questkey\taskobj119.spr	341	1	1	·Éµ¶Ö®ÍõÁøÒ¶Ëé·çµ¶µÄİÍÈ¡Êõ¼ÇÔØ£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉı·Éµ¶Àà°µÆ÷µÄµÈ¼¶¡£	1
HuyÒn NguyÖt §ao Tö Kinh B¶o Lôc	4	411	\spr\item\questkey\taskobj119.spr	341	1	1	ÌÆ³¯¶ÍÔìÃûÊ¦ĞşÔÂ×ÓµÄ×Ï¾£µ¶ÖıÊõ£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉıµ¶ÀàÎäÆ÷µÄµÈ¼¶¡£	1
Thiªn C¬ C«n §å Phæ	4	412	\spr\item\questkey\taskobj119.spr	341	1	1	Ìì»úÃÅÊÀ´úÏà´«µÄÖı¹÷ÃØÍ¼£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉı¹÷ÀàÎäÆ÷µÄµÈ¼¶¡£	1
¸m khİ Tæng Phæ-QuyÓn mét	4	413	\spr\item\questkey\taskobj119.spr	341	1	1	ÌÆÃÅ°µÆ÷ÖÆÔìÊõµÚÒ»¾í£¬ÃèÊöÁË·ÉïÚÖÆÔìµÄ·½·¨£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉı·ÉïÚÀà°µÆ÷µÄµÈ¼¶¡£	1
Uyªn ¦¬ng §ao-Khai Quang biªn	4	414	\spr\item\questkey\taskobj119.spr	341	1	1	ÎäÁÖÖÁ±¦Ô§Ñìµ¶ÉÏÃú¿ÌµÄË«µ¶¿ª¹â·¨£¬<enter>¿ÉÒÔÓÃÀ´ÌáÉıË«µ¶ÀàÎäÆ÷µÄµÈ¼¶¡£	1
B¨ng Tµm V« Cùc t¬	4	415	\spr\item\questkey\bingcanwujisi.spr	371	1	1	ÌìÉ½±ù²ÏÍÂµÄË¿£¬²úÁ¿Ï¡ÉÙ¡£<enter>ÊÇÌáÉıÒÂ·şÃ±×ÓµÈ¼¶µÄÃØ±¦¡£	1
Nam Minh chi Tinh	4	416	\spr\item\questkey\nanmingzhijing.spr	372	1	1	Ğ¡¿éµÄºìÉ«ÔÉĞÇ£¬·Ç³£º±¼û¡£<enter>ÊÇ½µµÍÒÂ·şÃ±×ÓµÈ¼¶µÄÃØ±¦¡£	1
TiÒn ®ång	4	417	\spr\item\tongqian.spr	373	1	1	Mét sè tiÒn ®ång, cã thÓ mua ®­îc mét vµi vËt phÈm ®Æc thï. 	1
“NguyÖt”	4	418	\spr\item\questkey\zq_icon_005.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“NguyÖt”. 	1
“Minh”	4	419	\spr\item\questkey\zq_icon_006.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Minh”. 	1
“Thu”	4	420	\spr\item\questkey\zq_icon_007.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Thu”. 	1
“Ca”	4	421	\spr\item\questkey\zq_icon_008.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Ca”. 	1
“¶nh”	4	422	\spr\item\questkey\zq_icon_009.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“¶nh”. 	1
“Cö”	4	423	\spr\item\questkey\zq_icon_010.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Cö”. 	1
“Väng”	4	424	\spr\item\questkey\zq_icon_011.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Väng”. 	1
“Nguyªn”	4	425	\spr\item\questkey\zq_icon_012.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Nguyªn”. 	1
“Töu”	4	426	\spr\item\questkey\zq_icon_013.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Töu”. 	1
“Thêi”	4	427	\spr\item\questkey\zq_icon_014.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Thêi”. 	1
“Th¸i ”	4	428	\spr\item\questkey\zq_icon_015.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷“Th¸i ”. 	1
"Vò” 	4	429	\spr\item\questkey\zq_icon_016.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷"Vò ”. 	1
"T¹i” 	4	430	\spr\item\questkey\zq_icon_017.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷"T¹i”. 	1
"Nh©n” 	4	431	\spr\item\questkey\zq_icon_018.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷"Nh©n”. 	1
"T­” 	4	432	\spr\item\questkey\zq_icon_019.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷"T­”. 	1
"Quyªn” 	4	433	\spr\item\questkey\zq_icon_020.spr	378	1	1	Mét m¶nh giÊy xĞ tõ mét bµi th¬ ®· t¶n l¹c kh¾p n¬i, bªn trªn cã viÕt mét ch÷"Quyªn”. 	1
